,0,1,accuracy,macro avg,weighted avg
precision,0.8571428571428571,0.9180515759312321,0.8888888888888888,0.8875972165370446,0.8904534497657707
recall,0.9057350032959789,0.8749317312943746,0.8888888888888888,0.8903333672951768,0.8888888888888888
f1-score,0.8807692307692307,0.8959731543624161,0.8888888888888888,0.8883711925658234,0.8890841603089925
support,1517.0,1831.0,0.8888888888888888,3348.0,3348.0
