,main_category,word,value,tag
1046,cat1,endommager,2,VERB
145,cat1,meuble,2,ADJ
133,cat2,😡,2,VERB
1110,cat1,attention,2,NOUN
1093,cat1,tomber,2,VERB
1138,cat1,niveau,2,NOUN
1287,cat1,accusé,2,VERB
1070,cat1,obliger,2,VERB
73,cat1,poubelle,2,NOUN
1127,cat1,attente,2,NOUN
20,cat1,décaler,2,VERB
2173,cat1,espace,2,NOUN
120,cat1,totalité,2,NOUN
72,cat1,clairement,2,ADV
1227,cat1,sûrement,2,ADV
1071,cat1,pratiquer,2,VERB
1162,cat1,taille,2,NOUN
1168,cat1,emballage,2,NOUN
139,cat1,habite,2,NOUN
21,cat1,victime,2,ADJ
52,cat1,belgique,2,ADJ
1187,cat1,derrière,2,ADP
105,cat1,converse,2,VERB
1139,cat1,défectueux,2,ADJ
1283,cat1,respecter,2,VERB
1200,cat1,habitude,1,NOUN
1197,cat1,mien,1,NOUN
1199,cat1,plupart,1,NOUN
1512,cat2,dispose,1,VERB
1513,cat1,étape,1,NOUN
1511,cat1,accéder,1,VERB
1198,cat2,élément,1,NOUN
1514,cat1,juridiquement,1,ADV
1515,cat2,shirt,1,VERB
1516,cat2,texto,1,ADJ
1293,cat1,bonheur,1,NOUN
1517,cat2,contretemps,1,ADJ
1528,cat2,octobre,1,NOUN
1538,cat1,bravo,1,PROPN
1537,cat1,abuser,1,VERB
1536,cat1,chz,1,NOUN
1191,cat1,ds,1,VERB
1535,cat2,sympa,1,ADJ
1534,cat1,courant,1,NOUN
1533,cat2,ultraplat,1,NOUN
1532,cat2,sourde,1,ADJ
1531,cat1,copier,1,NOUN
1529,cat2,taupe,1,NOUN
1527,cat1,étonnemer,1,VERB
1518,cat2,colossal,1,PROPN
1526,cat1,renvoyez,1,PROPN
1524,cat2,refaire,1,NOUN
1523,cat1,partager,1,VERB
1521,cat2,new,1,PRON
1193,cat1,geste,1,NOUN
1520,cat2,méprisant,1,ADJ
1194,cat1,ferai,1,ADJ
1195,cat1,pouer,1,VERB
1519,cat2,quart,1,NOUN
1196,cat2,bpite,1,NOUN
1522,cat2,realitede,1,VERB
1504,cat2,appels,1,NOUN
1510,cat1,lacunaire,1,ADJ
1493,cat2,alerter,1,VERB
1214,cat1,detr,1,NOUN
1491,cat2,vitesse,1,NOUN
1490,cat2,contraindre,1,VERB
1489,cat2,friday,1,NOUN
1488,cat2,precieus,1,NOUN
1216,cat2,micro-ond,1,NOUN
1217,cat1,renseign,1,NOUN
1487,cat2,pied,1,ADJ
1486,cat1,exercer,1,VERB
1218,cat1,bonsoir,1,VERB
1485,cat2,supporter,1,VERB
1219,cat1,shirt,1,VERB
1220,cat1,éparpiller,1,VERB
1483,cat2,innovant,1,VERB
1482,cat1,journée,1,VERB
1481,cat2,leader,1,VERB
1480,cat1,reduction,1,NOUN
1479,cat2,completer,1,VERB
1478,cat2,appareil,1,NOUN
1477,cat1,négociation,1,NOUN
1476,cat2,employer,1,VERB
1475,cat2,emmerde,1,NOUN
1221,cat1,paupiere,1,NOUN
1492,cat1,compter,1,VERB
1494,cat2,inculte,1,VERB
1201,cat1,paquet,1,NOUN
1213,cat1,quatre,1,NUM
1202,cat1,abstenir,1,VERB
1508,cat2,éteindre,1,VERB
1507,cat1,achèt,1,VERB
1506,cat2,destockage,1,NOUN
1203,cat1,énormémer,1,VERB
1505,cat2,juridique,1,ADJ
1190,cat1,poste,1,NOUN
1204,cat1,insatisfait,1,VERB
1205,cat2,jner,1,VERB
1206,cat1,doucement,1,ADV
1503,cat1,gain,1,NOUN
1502,cat1,nez,1,NOUN
1501,cat1,reçu,1,VERB
1500,cat1,courrier,1,ADJ
1207,cat1,quitter,1,VERB
1208,cat2,chanter,1,VERB
1499,cat1,nickel,1,VERB
1209,cat2,promené,1,NOUN
1497,cat1,livree,1,NOUN
1496,cat2,disparition,1,NOUN
1210,cat1,signature,1,NOUN
1211,cat1,plier,1,NOUN
1212,cat1,pain,1,NOUN
1539,cat1,expliquer,1,VERB
1548,cat2,inetrlocuteur,1,NOUN
1540,cat1,téléphoner,1,VERB
1604,cat2,échec,1,NOUN
1614,cat1,recvoir,1,VERB
1613,cat1,approvisionnement,1,VERB
1612,cat1,déduire,1,VERB
1611,cat1,aucune,1,DET
1610,cat2,problématique,1,ADJ
1609,cat1,chocolat,1,NOUN
1608,cat1,évidemment,1,ADV
1607,cat2,démanger,1,ADJ
1175,cat1,echantillon,1,ADJ
1606,cat2,brol,1,NOUN
1605,cat2,proposée,1,VERB
1603,cat1,sommier,1,ADJ
1616,cat1,explication,1,NOUN
1602,cat2,vorfreud,1,NOUN
1601,cat1,poursuite,1,VERB
1600,cat1,e.,1,NOUN
1599,cat2,gâcher,1,VERB
1598,cat2,filet,1,NOUN
1597,cat2,parfaire,1,ADJ
1596,cat2,claquette,1,NOUN
1176,cat1,salvato,1,NOUN
1595,cat2,haine,1,NOUN
1594,cat2,ustensile,1,ADJ
1177,cat1,xl,1,VERB
1173,cat2,réassortir,1,VERB
1617,cat2,voiture,1,NOUN
1178,cat1,échantillon,1,NOUN
1629,cat2,prolonger,1,VERB
1641,cat1,ré-expédie,1,NOUN
1640,cat1,comparer,1,VERB
1639,cat2,concluant,1,ADJ
1638,cat2,accessible,1,ADJ
1637,cat2,deal,1,ADJ
1636,cat2,accueil,1,NOUN
1635,cat2,newsletter,1,VERB
1634,cat2,shampoing,1,NOUN
1633,cat2,parrure,1,NOUN
1632,cat2,directement,1,ADV
1631,cat1,souvent,1,ADV
1628,cat1,😊,1,NOUN
1618,cat2,dédommager,1,AUX
1627,cat1,fermer,1,VERB
1169,cat1,catstrophiqu,1,NOUN
1170,cat1,ceci,1,PRON
1626,cat1,installer,1,VERB
1625,cat1,lecoli,1,PRON
1624,cat1,decue,1,NOUN
1171,cat1,aberrant,1,VERB
1622,cat1,reflechis,1,NOUN
1621,cat1,quinzaine,1,NOUN
1620,cat2,responsabilité,1,NOUN
1619,cat2,gentillement,1,VERB
1592,cat1,ressemble,1,ADJ
1591,cat1,emmanuel,1,ADJ
1541,cat2,pickup,1,VERB
1553,cat2,tournure,1,NOUN
1564,cat1,retarder,1,VERB
1563,cat2,volimineux,1,ADJ
1562,cat1,profit,1,NOUN
1561,cat1,paire,1,ADJ
1560,cat2,éclairer,1,VERB
1559,cat2,expression,1,NOUN
1558,cat2,livree,1,NOUN
1185,cat1,adela,1,PRON
1556,cat2,😂,1,SPACE
1186,cat1,personne,1,NOUN
1554,cat1,seulement,1,ADV
1552,cat2,casio,1,NOUN
1566,cat2,rédiger,1,VERB
1551,cat1,émettre,1,VERB
1550,cat2,moisir,1,ADJ
1549,cat1,dessous,1,NOUN
1223,cat2,brise,1,VERB
1547,cat2,comprends.-,1,NOUN
1188,cat1,blanc,1,ADJ
1546,cat1,inacceptable,1,ADJ
1189,cat1,zahi,1,NOUN
1544,cat2,collègue,1,NOUN
1543,cat1,rejeter,1,VERB
1542,cat1,lente,1,NOUN
1565,cat2,achetez,1,VERB
1567,cat1,diriger,1,VERB
1590,cat1,cesse,1,NOUN
1578,cat1,delai,1,VERB
1589,cat1,travers,1,ADJ
1588,cat1,gramme,1,NOUN
1587,cat2,intégrité,1,NOUN
1179,cat1,contenu,1,NOUN
1586,cat2,fraiset,1,ADJ
1585,cat2,aucuns,1,VERB
1584,cat1,défoncer,1,VERB
1583,cat2,promis,1,VERB
1581,cat2,hautain,1,ADJ
1580,cat2,éventuellement,1,VERB
1579,cat2,ignoble,1,ADJ
1577,cat2,étonnemer,1,VERB
1568,cat2,réexpédier,1,VERB
1181,cat1,difficile,1,ADJ
1576,cat2,habituer,1,VERB
1182,cat1,effet,1,NOUN
1183,cat1,liquide,1,ADJ
1574,cat2,cloturer,1,VERB
1573,cat2,fixée,1,NOUN
1184,cat1,craser,1,VERB
1572,cat1,jamais,1,ADV
1571,cat1,fevad,1,NOUN
1570,cat2,proleme,1,ADJ
1569,cat2,égarer,1,VERB
1222,cat1,autant,1,ADV
1229,cat1,cjablonski,1,ADJ
1224,cat1,aboutir,1,VERB
1388,cat2,traîne,1,NOUN
1362,cat1,rentable,1,ADJ
1268,cat2,déplus,1,ADP
1360,cat2,inspirer,1,VERB
1269,cat1,réponse,1,NOUN
1359,cat1,affreux,1,ADJ
1358,cat1,écrit,1,VERB
1357,cat2,vdd,1,PRON
1356,cat2,liquidation,1,NOUN
1270,cat1,répartir,1,VERB
1271,cat2,exellence,1,NOUN
1355,cat1,longuesil,1,ADJ
1354,cat2,voiler,1,VERB
1272,cat1,généralement,1,ADV
1353,cat2,e-commerce,1,NOUN
1273,cat1,tâcher,1,ADJ
1352,cat1,tanpis,1,NOUN
1351,cat2,paul,1,PROPN
1350,cat1,systématique,1,ADJ
1349,cat1,bodum,1,PROPN
1274,cat1,darty,1,VERB
1348,cat1,opération,1,NOUN
1347,cat2,écrite,1,NOUN
1346,cat1,incomplét,1,VERB
1345,cat2,abonné,1,VERB
1344,cat1,octobre,1,NOUN
1363,cat1,supérieur,1,NOUN
1364,cat1,description,1,NOUN
1365,cat1,easycartouch,1,PROPN
1376,cat1,réussir,1,NOUN
1258,cat2,dcb,1,ADJ
1386,cat2,gérer,1,VERB
