,0,1,accuracy,macro avg,weighted avg
precision,0.8648310387984981,0.9228571428571428,0.8951612903225806,0.8938440908278205,0.8965651476788381
recall,0.9110085695451549,0.8820316766794102,0.8951612903225806,0.8965201231122826,0.8951612903225806
f1-score,0.8873194221508828,0.9019826864004468,0.8951612903225806,0.8946510542756647,0.8953386685191479
support,1517.0,1831.0,0.8951612903225806,3348.0,3348.0
